Date,Open,High,Low,Close,Adj Close,Volume
09-May-22,2195,2213.35,2171,2189,2183.2,2118541973
10-May-22,2180,2186,2125,2131.95,2137.35,2350244447
11-May-22,2127.2,2138,2095.75,2122.75,2114.7,3113842058
12-May-22,2102,2103.9,2035.55,2054.55,2048.55,2797704840
13-May-22,2056.15,2154,2056.15,2096.15,2091.7,5452433727
16-May-22,2118,2152,2096.7,2111,2109.6,2907909953
17-May-22,2145,2185,2111,2182.9,2176.35,2696180834
18-May-22,2187,2194.3,2161,2170,2166.75,2589687186
19-May-22,2125,2156.1,2055.1,2126,2111.95,2090590745
20-May-22,2139.9,2155.55,2129.2,2142.65,2137.05,2175279300
23-May-22,2160,2200,2138,2149.95,2151.3,2928523000
24-May-22,2151.65,2165,2121.35,2140.65,2140.25,2464621624
25-May-22,2160,2181,2106,2115,2113.4,2391027166
26-May-22,2132,2150.85,2075.5,2142.05,2141.95,2923234031
27-May-22,2155,2159.95,2123.4,2150,2149.2,1852788323
30-May-22,2164,2260,2164,2254.95,2255.9,3783250800
31-May-22,2254.9,2300,2176.6,2295,2216,15487882622
01-Jun-22,2255,2304.9,2180,2195,2197.6,4730818156
02-Jun-22,2176.6,2225.35,2176.6,2225,2220.95,2134099610
03-Jun-22,2231.65,2244.95,2197.75,2212,2204.4,2728593267
06-Jun-22,2204.4,2208.95,2165.95,2198,2198.55,2806889353
07-Jun-22,2173.55,2179.45,2088,2100.05,2100.8,6850076543
08-Jun-22,2106.05,2133,2096.55,2130,2128.85,3760874080
09-Jun-22,2106,2154,2103,2138.35,2139.7,2210823973
10-Jun-22,2108,2166,2108,2142.7,2142.25,1990900236
13-Jun-22,2108,2124.45,2076.2,2104.6,2102.4,1948484419
14-Jun-22,2100,2116.9,2072.65,2104,2102,1875692084
15-Jun-22,2104,2127.5,2090,2100,2105.05,1653103326
16-Jun-22,2126.4,2145,2042.05,2059,2060.95,2632429400
17-Jun-22,2041,2051.65,1910.55,1935.45,1936.45,11854052378
20-Jun-22,1938,1973.45,1905.45,1966.9,1961.7,3826001837
21-Jun-22,1979.9,2093.75,1966.5,2079.95,2078.1,6771902844
22-Jun-22,2070,2070.95,2007,2028,2031.2,3057525660
23-Jun-22,2040,2047.8,1997.15,2040,2041.4,3302881610
24-Jun-22,2053.55,2076.4,2033.95,2046.15,2045.6,1749169686
27-Jun-22,2082,2083.65,2025,2045,2040.3,2185611112
28-Jun-22,2020,2022,1960,1970.2,1968.05,6695340526
